fc_name,object_name
梅花天使创投,1家1(壹家壹)
北京险峰华兴投资咨询有限公司,1折店
真格基金,1折店
险峰长青,1折店
不公开的投资者,1步单车
中海外资本,1步单车
众驰投资,1步单车
川商投兴创基金,1步单车
恒基浦业,1步单车
如码资本,1秒疯传
不公开的投资者,1箱子
险峰长青,1箱子
上海常春藤投资控股有限公司,1药网
常春藤资本,1药网
Foresight,200 Degrees
Blumberg,20n
Blumberg Capital,20n
Capital,20n
Great,20n
Great Oaks Venture Capital,20n
Khosla Ventures,20n
Oaks,20n
Y Combinator,20n
YC,20n
科斯拉风投,20n
360,21 Buttons
360 Capital Partners,21 Buttons
Banco,21 Buttons
Banco Bilbao Vizcaya Argentaria,21 Buttons
Breega Capital,21 Buttons
Capital,21 Buttons
JME Venture Capital,21 Buttons
Kibo,21 Buttons
Kibo Venture,21 Buttons
Partners,21 Buttons
Sabadell Venture Capital,21 Buttons
Samaipata Ventures,21 Buttons
Sputnik,21 Buttons
Sputnik Capital,21 Buttons
VenturCap,21 Buttons
Venture（领投）,21 Buttons
mediaset,21 Buttons
360 Capital Partners,21Buttons
Banco Sabadell,21Buttons
Breega Capital,21Buttons
JME Venture Capital,21Buttons
Kibo Venture,21Buttons
mediaset,21Buttons
初创投资,21CD游戏网
北京清科投资管理有限公司,21Cake
君联资本,21Cake
君联资本管理股份有限公司,21Cake
清科创投,21Cake
君联资本,21Cake廿一客
云启资本,21Pink
链家地产,21世纪中国不动产
艾威基金,21世纪中国不动产公司
高盛,21世纪中国不动产公司
小米科技,21克手机
顺为资本,21克手机
比特基金BitFund.PE,233手游直播
国发创投,2345网址导航
奇虎360,2366网页游戏门户
Altimeter,23andMe
Altimeter Capital,23andMe
Capital(红杉海外)（领投）,23andMe
Euclidean Capital,23andMe
Google谷歌,23andMe
MPM Capital,23andMe
NEA恩颐投资,23andMe
New Enterprise Associates,23andMe
Sequoia,23andMe
Sequoia Capital(红杉海外),23andMe
Wallenberg Foundation,23andMe
富达投资,23andMe
富达投资Fidelity Investments,23andMe
Hanvon汉王科技,23魔方
丰厚投资管理（北京）有限公司,23魔方
丰厚资本,23魔方
奇点资本,23魔方
德商奇点,23魔方
汉王启创,23魔方
雅惠精准医疗基金,23魔方
825新媒体产业基金,247科技(参上太和)
华映资本,247科技(参上太和)
星火金融,247科技(参上太和)
国富源投资,24Pay掌付通
华媒控股,24季私享家
阿里巴巴,24季私享家
58同城,273二手车-车友网络
IDG资本,273二手车-车友网络
创新工场,273二手车-车友网络
晨兴资本,273二手车-车友网络
金固股份,273二手车-车友网络
南方报业集团,289玩艺网
GMO,2C2P
GMO Venture Partners,2C2P
Arbor Venture,2C2P Pte. Ltd.
GMO,2C2P Pte. Ltd.
PreAngel,2RedBeans
PreAngel Fund,2RedBeans
Stanford Startx Fund,2RedBeans
StartX,2RedBeans
创新谷投资,2RedBeans
PreAngel,2RedBeans / 两颗红豆
StartX,2RedBeans / 两颗红豆
Accel Partners,2Wire
DCM中国,2Wire
INVESCO Private Capital,2Wire
Meritech Capital Partners,2Wire
Oak Investment Partners,2Wire
Pace,2Wire
Venrock,2Wire
金沙江创投,2Wire
DCM资本,"2Wire, Inc."
Almaz,2can
Almaz Capital,2can
Capital,2can
ESN Group,2can
InVenture,2can
InVenture Partners,2can
Amazon亚马逊,2lemetry
Columbia,2nd Watch
Columbia Capital,2nd Watch
Delta-v Capital,2nd Watch
Group,2nd Watch
Madrona,2nd Watch
Madrona Venture Group,2nd Watch
Top Tier Capital Partners,2nd Watch
Venture,2nd Watch
上海晨联投资管理有限公司,2厘米游学-两厘米
蓝象资本,2平米智慧学习桌
博派资本,304文化(次元文化)
复星锐正资本,304文化(次元文化)
头头是道投资基金,304文化(次元文化)
经纬中国,304文化(次元文化)
今日头条,30秒懂车
北京字节跳动科技有限公司,30秒懂车
华映资本,30秒懂车
新浪微博基金,30秒懂车
松栢资本,30秒懂车
汽车之家,30秒懂车
中沃投资,31会议
优领资本,31会议
创合汇投资,31会议
协立投资,31会议
南京协立投资管理有限公司,31会议
查立,31会议
起点创业营,31会议
上海嘉稹资本,32teeth
苏河汇,33IQ
华泰基金,352空气净化
经纬中国,352空气净化
贝塔斯曼亚洲投资基金,352空气净化
阿特列斯投资管理,352空气净化
元禾控股,360
北京普思投资有限公司,360
北京清科投资管理有限公司,360
名盛资本,360
挚信资本,360
普华资本,360
普思资本,360
汉富控股有限公司,360
汉富资本,360
浙江普华天勤股权投资管理有限公司,360
清科创投,360
策源创投,360
翊翎资本,360
苏州元禾控股股份有限公司,360
达晨创投,360
金砖资本,360
上海自友投资管理有限公司,360 security
北京昆仑万维科技股份有限公司,360 security
奇虎360,360 security
峰瑞资本,360 security
天使湾,360doc
Hydra Ventures,360fly
L Catterton,360fly
Ventures,360fly
高通,360fly
高通Qualcomm,360fly
高通Qualcomm Ventures,360fly
Sageview,360insights
Sageview Capital,360insights
丰厚资本,360°基因
元素资本,360°基因
北京北软汇智投资管理有限公司,360°基因
北软天使基金,360°基因
天使投资人沈海寅,360°基因
英诺天使基金,360°基因
GMO,360企业安全集团
IDG资本,360企业安全集团
晋汇投资,360企业安全集团
红杉中国,360企业安全集团
红点创投,360企业安全集团
经纬中国,360企业安全集团
高原资本,360企业安全集团
鼎晖创投,360企业安全集团
软银中国,360健康
丰厚资本,360基因体检
元素资本,360基因体检
天使投资人沈海寅,360基因体检
英诺天使基金,360基因体检
礼来亚洲基金,360好药
软银中国,360好药
找钢网,360媒体网
胖猫创投,360媒体网
胖猫创投(找钢网),360媒体网
不公开的投资者,360安全路由
奇虎360,360安全路由
IDG资本,360彩票
PreAngel,360彩票
云畔资本,360彩票
奇虎360,360彩票
峰瑞资本,360彩票
奇虎360,360手机
北京立思辰科技股份有限公司,360教育集团
立思辰,360教育集团
戈壁投资,360装房网
825新媒体产业基金,360财富
乔景资本,360财富
北斗共赢基金,360财富
华映资本,360财富
江西金控,360财富
苏州乔景东方投资管理咨询有限公司,360财富
不公开的投资者,365 Retail Markets
Cedar,365Scores
Cedar Fund,365Scores
雪杉基金,365Scores
乐搏大成（北京）投资咨询有限公司,365健康卫士
乐搏资本,365健康卫士
普华资本,365医院网
浙江普华天勤股权投资管理有限公司,365医院网
普华资本,365医院网(医嘉互联)
北大创投,365好老师
朗玛峰创投,365微学习i-learning365
联想之星,365微学习i-learning365
盛景网联(盛景嘉成),365微服务
DST,365日历
上海复星昆仲股权投资管理有限公司,365日历
上海挚信投资管理有限公司,365日历
复星昆仲,365日历
挚信资本,365日历
腾讯产业共赢基金,365日历
腾讯投资,365日历
DST,365日历网
复星锐正资本,365日历网
挚信资本,365日历网
腾讯,365日历网
宽带资本CBC,365翻译
徐小平,365翻译
真格基金,365翻译
Infinity Venture Partners（IVP）,36氪
九合创投,36氪
华泰瑞麟(华泰证券),36氪
卓实基金,36氪
招商局,36氪
永柏资本PGA Ventures,36氪
经纬中国,36氪
蚂蚁金服(阿里巴巴),36氪
分众传媒,36氪传媒
国宏嘉信,36氪传媒
戈壁创投,36氪传媒
杭州金投,36氪传媒
百度视频,36氪传媒
创新工场,37degree
上海秉原秉鸿股权投资管理有限公司,37健康
丰厚投资管理（北京）有限公司,37健康
丰厚资本,37健康
五岳天下资本,37健康
北京五岳天下投资咨询有限公司,37健康
北京北软汇智投资管理有限公司,37健康
北软天使基金,37健康
秉鸿资本,37健康
英诺天使基金,37健康
丰厚资本,37健康37mhealth
五岳资本,37健康37mhealth
北软天使基金,37健康37mhealth
秉鸿资本,37健康37mhealth
英诺天使基金,37健康37mhealth
鱼跃科技,37健康37mhealth
利龙投资,37度手环
阿尔法公社,37度旅行
阿尔法创业科技（北京）有限公司,37度旅行
三七互娱,37游戏
IDG资本,39互联网医院
贵阳创投,39互联网医院
贵阳朗玛信息,39互联网医院
IDG资本,39健康网
贵阳朗玛信息,39健康网
Balderton,3D Hubs
Balderton Capital,3D Hubs
Capital,3D Hubs
EQT Ventures,3D Hubs
Atlantic,3D Robotics
Atlantic Bridge,3D Robotics
Bridge（领投）,3D Robotics
Foundry Group,3D Robotics
Mayfield Fund,3D Robotics
Shea Ventures,3D Robotics
True,3D Robotics
True Ventures,3D Robotics
Ventures,3D Robotics
梅菲尔德基金,3D Robotics
高通,3D Robotics
高通Qualcomm Ventures,3D Robotics
高通风险投资,3D Robotics
七海资本,3DMed思路迪
中卫基金,3DMed思路迪
中国国有资本风险投资基金（国风投）,3DMed思路迪
中国民生投资集团,3DMed思路迪
中民国际,3DMed思路迪
仙瞳资本,3DMed思路迪
信中利资本,3DMed思路迪
凯风创投,3DMed思路迪
北京芳晟投资管理中心（有限合伙）,3DMed思路迪
天士力创投,3DMed思路迪
深圳仙瞳资本管理有限公司,3DMed思路迪
芳晟股权投资基金,3DMed思路迪
PropTiger,3Dphy
伯符投资,3D咕咕试衣间
北京智程景颐科技有限公司,3D未来
北京泰有投资管理有限公司,3D未来
水木清华校友基金,3D未来
水清木华金种子（北京）科技孵化器有限公司,3D未来
泰有基金,3D未来
泰有投资,3D未来
臻云创投,3D未来
臻云创投(臻云智能),3D未来
孝昌水木投资(唐彬森),3D蜗窝网
鼎晟天平投资,3D霹雳飞车
Apis,3G DirectPay
Apis Partners LLP,3G DirectPay
中手游,3Glasses
华创汇才投资管理（北京）有限公司,3Glasses
华创资本,3Glasses
中华开发,3Glasses虚拟现实科技
同创伟业,3Glasses虚拟现实科技
国宏嘉信,3Glasses虚拟现实科技
国金投资,3Glasses虚拟现实科技
欧菲光,3Glasses虚拟现实科技
创新工场,3K猎头
温州温青梦工场创业投资中心（有限合伙）,3N技术合伙人
Breakout Ventures,3Scan
Capital,3Scan
Collective,3Scan
Comet Labs,3Scan
Data,3Scan
Data Collective,3Scan
Dolby Family Ventures,3Scan
Lux,3Scan
Lux Capital,3Scan
OS Fund,3Scan
500,3TEN8.AI
Capital,3TEN8.AI
Partners（领投）,3TEN8.AI
Social,3TEN8.AI
京东,3W创业服务平台
东方弘道(弘合基金),3W咖啡
京东金融,3W咖啡
北京京东世纪贸易有限公司,3W咖啡
北京真格天成投资管理有限公司,3W咖啡
弘道资本,3W咖啡
真格基金,3W咖啡
清科辰光,3e口语
Colopl VR Fund,3rd Eye Studios
Sisu,3rd Eye Studios
Sisu Game Ventures,3rd Eye Studios
Global Brain,3rdKind
Global Brain Corporation,3rdKind
NVCC,3rdKind
Nippon,3rdKind
Nippon Venture Capital,3rdKind
Venture,3rdKind
知卓资本,3sNews
红点创投,3楼A座
IDG资本,3空间
北京高榕资本管理咨询有限公司,3空间
高榕资本,3空间
IDG资本,3空间找装修
高榕资本,3空间找装修
不公开的投资者,42ARK奇群科技
北京北软汇智投资管理有限公司,42旅
北京大河汇智投资管理有限公司,42旅
北软天使基金,42旅
厦门安思晟投资有限公司,42旅
大河创投,42旅
安思晟投资ACEON,42旅
光源资本,42章经
北京子木投资顾问有限公司,42章经
头头是道投资基金,42章经
小饭桌(凡卓资本),42章经
深圳高樟资本投资有限公司,42章经
联想之星,42章经
高樟资本,42章经
薛蛮子,4391.com
光信投资管理（北京）有限公司,4399游戏网
光信资本,4399游戏网
蔡文胜,4399游戏网
西藏晨麒投资中心,4399游戏网
隆领投资,4399游戏网
腾讯,4:33 Creative Lab
腾讯投资,4:33 Creative Lab
Jump,4C Insights
Jump Capital,4C Insights
KT,4DReplay
前海母基金,4K花园
南方媒体融合基金,4K花园
合一资本,4K花园
山东广电网络,4K花园
银杏谷投资,4Studio
银杏谷资本,4Studio
Global,4meee
Global Brain,4meee
Global Brain Corporation,4meee
Bain,4moms
Bain Capital Ventures,4moms
贝恩资本,4moms
Accel,4tigo
Accel Partners,4tigo
Dymon,4xLabs
Dymon Asia Ventures,4xLabs
OSK Ventures International,4xLabs
六翼投资,500万彩票网
IDG资本,500彩票网(500万彩票)
SIG海纳亚洲,500彩票网(500万彩票)
嘉御基金,500彩票网(500万彩票)
红杉资本中国,500彩票网(500万彩票)
杭州永宣乐丰,500理财
IDG资本,5173.com
KTB,5173.com
华登国际,5173.com
清科创投,5173.com
IDG资本,5173游戏网
KTB投资集团,5173游戏网
北京清科投资管理有限公司,5173游戏网
华登国际,5173游戏网
华登国际投资,5173游戏网
清科创投,5173游戏网
英诺天使基金,517旅行
联想集团,51BOOK联拓天际
上海挚信投资管理有限公司,51CTO
德沃基金,51CTO
挚信资本,51CTO
德沃基金,51CTO无忧创想
挚信资本,51CTO无忧创想
KakaoTalk,51GIF
奇虎360,51MyPC
德迅投资,51MyPC
架桥投资,51MyPC
DCM中国,51Talk
广州华多网络科技有限公司,51Talk
欢聚时代,51Talk
红杉资本中国,51Talk
顺为资本,51Talk
DCM中国,51Talk无忧英语
华兴资本,51Talk无忧英语
徐小平,51Talk无忧英语
欢聚时代(YY多玩),51Talk无忧英语
真格基金,51Talk无忧英语
顺为资本,51Talk无忧英语
